,run_time,turbulence_%,end_total_asset,algo,policy,market
0,20210102172215,84.9,1523431,A2C,MlpPolicy,CAC
0,20201230082047,59.7,1523774,A2C,MlpPolicy,DJI
0,20210123060008,84.9,1525377,A2C,MlpPolicy,CAC
0,20201230001737,59.7,1526743,A2C,MlpPolicy,DJI
0,20210126074009,59.7,1531588,PPO,MlpLnLstmPolicy,DJI
0,20210130221205,59.7,1536926,A2C,MlpLnLstmPolicy,DJI
0,20210104082643,84.9,1540851,A2C,MlpLnLstmPolicy,CAC
0,20210120095917,84.9,1542006,PPO,MlpLnLstmPolicy,CAC
0,20201231111401,65.1,1542082,PPO,MlpPolicy,DAX
0,20210108064559,84.9,1543732,A2C,MlpLnLstmPolicy,CAC
0,20210110144211,84.9,1546803,A2C,MlpLstmPolicy,CAC
0,20210111123519,65.1,1548991,PPO,MlpPolicy,DAX
0,20210121033722,59.7,1549544,PPO,MlpLstmPolicy,DJI
0,20210119112823,65.1,1549763,PPO,MlpPolicy,DAX
0,20210110025944,59.7,1550855,A2C,MlpLnLstmPolicy,DJI
0,20201231191827,65.1,1554241,PPO,MlpPolicy,DAX
0,20210121050342,84.9,1554249,PPO,MlpLstmPolicy,CAC
0,20210107194257,59.7,1554815,A2C,MlpLstmPolicy,DJI
0,20210127210350,59.7,1555793,A2C,MlpPolicy,DJI
0,20210115042840,84.9,1562328,PPO,MlpLnLstmPolicy,CAC
0,20210122040655,59.7,1563334,PPO,MlpLstmPolicy,DJI
0,20210117121923,65.1,1563919,PPO,MlpLstmPolicy,DAX
0,20201231163755,65.1,1565494,A2C,MlpPolicy,DAX
0,20210128060842,65.1,1566803,PPO,MlpLnLstmPolicy,DAX
0,20210111005508,65.1,1572835,A2C,MlpPolicy,DAX
0,20210121163506,65.1,1573270,PPO,MlpLstmPolicy,DAX
0,20210110103836,84.9,1573822,A2C,MlpLnLstmPolicy,CAC
0,20201230162422,84.9,1574573,A2C,MlpPolicy,CAC
0,20210128221101,65.1,1575412,A2C,MlpLstmPolicy,DAX
0,20210104160913,65.1,1576331,A2C,MlpLnLstmPolicy,DAX
0,20210120115043,65.1,1579310,PPO,MlpLnLstmPolicy,DAX
0,20210117055949,59.7,1579657,PPO,MlpLstmPolicy,DJI
0,20210118113325,84.9,1579846,PPO,MlpLstmPolicy,CAC
0,20210104233711,59.7,1579898,A2C,MlpLnLstmPolicy,DJI
0,20210124041616,59.7,1582928,A2C,MlpPolicy,DJI
0,20210105222147,59.7,1586027,A2C,MlpLstmPolicy,DJI
0,20210127100253,65.1,1589532,A2C,MlpPolicy,DAX
0,20210106092422,84.9,1594244,A2C,MlpLnLstmPolicy,CAC
0,20210130010939,59.7,1595377,PPO,MlpLnLstmPolicy,DJI
0,20210122165617,59.7,1595754,PPO,MlpLnLstmPolicy,DJI
0,20201229161540,59.7,1597809,A2C,MlpPolicy,DJI
0,20210102010200,59.7,1598285,A2C,MlpPolicy,DJI
0,20210130110900,65.1,1600174,A2C,MlpLnLstmPolicy,DAX
0,20210107154907,65.1,1602519,A2C,MlpLnLstmPolicy,DAX
0,20210120153623,65.1,1604364,PPO,MlpLstmPolicy,DAX
0,20210109151852,84.9,1604696,A2C,MlpLstmPolicy,CAC
0,20210106211515,59.7,1606927,A2C,MlpLstmPolicy,DJI
0,20210123180505,59.7,1607819,A2C,MlpPolicy,DJI
0,20210130041733,65.1,1608226,A2C,MlpPolicy,DAX
0,20210115152555,65.1,1609116,PPO,MlpLnLstmPolicy,DAX
0,20210124080013,84.9,1609874,A2C,MlpLstmPolicy,CAC
0,20210128080214,84.9,1615974,A2C,MlpPolicy,CAC
0,20210130223602,59.7,1616164,PPO,MlpLnLstmPolicy,DJI
0,20201230190506,84.9,1623932,PPO,MlpPolicy,CAC
0,20210123151917,59.7,1625522,A2C,MlpPolicy,DJI
0,20210127165507,65.1,1626891,A2C,MlpLnLstmPolicy,DAX
0,20210111092342,65.1,1627552,A2C,MlpPolicy,DAX
0,20201231083309,84.9,1629791,A2C,MlpPolicy,CAC
0,20210131035853,65.1,1631976,PPO,MlpLstmPolicy,DAX
0,20210123085333,59.7,1632057,A2C,MlpPolicy,DJI
0,20210123025847,84.9,1636337,A2C,MlpLnLstmPolicy,CAC
0,20210129020608,65.1,1636575,A2C,MlpLnLstmPolicy,DAX
0,20210124005521,59.7,1636591,A2C,MlpLnLstmPolicy,DJI
0,20210120232212,59.7,1637357,PPO,MlpLnLstmPolicy,DJI
0,20210123210056,59.7,1637415,A2C,MlpLstmPolicy,DJI
0,20210130000729,84.9,1637504,A2C,MlpLnLstmPolicy,CAC
0,20210106015635,59.7,1639006,A2C,MlpLnLstmPolicy,DJI
0,20210125165653,84.9,1641674,A2C,MlpLstmPolicy,CAC
0,20210106165706,65.1,1642560,A2C,MlpLnLstmPolicy,DAX
0,20210103043241,84.9,1643973,PPO,MlpPolicy,CAC
0,20210103211130,59.7,1644192,A2C,MlpLstmPolicy,DJI
0,20210127012054,84.9,1645529,PPO,MlpLnLstmPolicy,CAC
0,20210120213040,65.1,1646682,PPO,MlpLnLstmPolicy,DAX
0,20210125095057,59.7,1649799,A2C,MlpLnLstmPolicy,DJI
0,20210103181610,65.1,1651155,A2C,MlpPolicy,DAX
0,20210116022749,59.7,1651213,PPO,MlpLnLstmPolicy,DJI
0,20201230025738,59.7,1651627,PPO,MlpPolicy,DJI
0,20210124141251,84.9,1651908,PPO,MlpLstmPolicy,CAC
0,20210106131700,65.1,1652482,A2C,MlpLstmPolicy,DAX
0,20210118183112,84.9,1653128,PPO,MlpLstmPolicy,CAC
0,20210125030039,59.7,1653947,A2C,MlpPolicy,DJI
0,20210130152120,59.7,1662354,A2C,MlpPolicy,DJI
0,20210117235911,59.7,1664512,PPO,MlpLstmPolicy,DJI
0,20210123183337,84.9,1669672,A2C,MlpPolicy,CAC
0,20210102114838,84.9,1674910,PPO,MlpPolicy,CAC
0,20210118130358,59.7,1679622,PPO,MlpLnLstmPolicy,DJI
0,20210124011304,84.9,1684962,A2C,MlpPolicy,CAC
0,20210107043939,84.9,1685817,A2C,MlpLstmPolicy,CAC
0,20210107120913,65.1,1687031,A2C,MlpLstmPolicy,DAX
0,20210126145921,59.7,1693262,A2C,MlpLstmPolicy,DJI
0,20210122230335,84.9,1694199,A2C,MlpLstmPolicy,CAC
0,20210108031218,84.9,1695801,A2C,MlpLstmPolicy,CAC
0,20210124115514,84.9,1696400,A2C,MlpLnLstmPolicy,CAC
0,20210123135637,65.1,1698046,A2C,MlpLnLstmPolicy,DAX
0,20210102090712,59.7,1698489,A2C,MlpPolicy,DJI
0,20210117003913,65.1,1702552,PPO,MlpLnLstmPolicy,DAX
0,20210116133235,84.9,1713490,PPO,MlpLnLstmPolicy,CAC
0,20210123070645,65.1,1714404,A2C,MlpPolicy,DAX
0,20210117063135,84.9,1718389,PPO,MlpLnLstmPolicy,CAC
0,20210129130621,59.7,1718876,A2C,MlpLnLstmPolicy,DJI
0,20210127015855,84.9,1720879,A2C,MlpLstmPolicy,CAC
0,20210101113208,59.7,1722357,PPO,MlpPolicy,DJI
0,20210108182537,65.1,1723548,A2C,MlpLnLstmPolicy,DAX
0,20210118172353,84.9,1726965,PPO,MlpLnLstmPolicy,CAC
0,20210119001954,84.9,1728576,PPO,MlpLnLstmPolicy,CAC
0,20210124050308,84.9,1729768,A2C,MlpPolicy,CAC
0,20210121104833,84.9,1734763,PPO,MlpLnLstmPolicy,CAC
0,20210109190827,65.1,1738227,A2C,MlpLnLstmPolicy,DAX
0,20210104043409,84.9,1742646,A2C,MlpLstmPolicy,CAC
0,20210101165617,59.7,1745520,A2C,MlpPolicy,DJI
0,20210129091239,59.7,1751018,A2C,MlpLstmPolicy,DJI
0,20210124202619,84.9,1756455,PPO,MlpLnLstmPolicy,CAC
0,20210122200925,84.9,1762775,A2C,MlpPolicy,CAC
0,20210111195109,84.9,1763692,A2C,MlpPolicy,CAC
0,20210101193747,59.7,1773166,PPO,MlpPolicy,DJI
0,20210116223400,84.9,1783666,PPO,MlpLstmPolicy,CAC
0,20210123100323,65.1,1787419,A2C,MlpLstmPolicy,DAX
0,20210101085105,65.1,1793703,A2C,MlpPolicy,DAX
0,20210111224937,84.9,1797568,PPO,MlpPolicy,CAC
0,20210123000947,84.9,1802661,A2C,MlpPolicy,CAC
0,20210107081328,84.9,1812017,A2C,MlpLnLstmPolicy,CAC
0,20210131022200,84.9,1827650,A2C,MlpPolicy,CAC
0,20210103014630,84.9,1830478,A2C,MlpPolicy,CAC
0,20210125205138,84.9,1863872,A2C,MlpLnLstmPolicy,CAC
0,20210102201011,84.9,1894751,PPO,MlpPolicy,CAC
0,20210129201210,84.9,1924899,A2C,MlpLstmPolicy,CAC
0,20210128110016,84.9,1933416,A2C,MlpLstmPolicy,CAC
0,20210131051904,84.9,1948864,A2C,MlpLstmPolicy,CAC
0,20210109111217,84.9,1957088,A2C,MlpLnLstmPolicy,CAC
0,20210127055357,84.9,1964013,A2C,MlpLnLstmPolicy,CAC
0,20210124225246,65.1,1975859,A2C,MlpLnLstmPolicy,DAX
